row_id,recording_id,segment_id,disfluency_type,detected_token,start_time,end_time,duration,clip_path,confidence,notes,audio_url
1,825780,825780_seg_0000,filler,तो,0.11,14.42,14.31,clips/825780_seg_0000.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
2,825780,825780_seg_0000,filler,मतलब,0.11,14.42,14.31,clips/825780_seg_0000.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
3,825780,825780_seg_0001,filler,तो,14.42,29.03,14.610000000000001,clips/825780_seg_0001.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
4,825780,825780_seg_0002,filler,तो,29.03,41.84,12.810000000000002,clips/825780_seg_0002.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
5,825780,825780_seg_0003,filler,तो,42.47,50.57,8.100000000000001,clips/825780_seg_0003.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
6,825780,825780_seg_0004,filler,तो,52.7,66.83,14.129999999999995,clips/825780_seg_0004.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
7,825780,825780_seg_0004,filler,मतलब,52.7,66.83,14.129999999999995,clips/825780_seg_0004.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
8,825780,825780_seg_0004,repetition,र र,52.7,66.83,14.129999999999995,clips/825780_seg_0004.wav,0.8,Found repetition near token(s): 'र र',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
9,825780,825780_seg_0004,repetition,म म,52.7,66.83,14.129999999999995,clips/825780_seg_0004.wav,0.8,Found repetition near token(s): 'म म',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
10,825780,825780_seg_0005,filler,तो,66.83,80.51,13.680000000000007,clips/825780_seg_0005.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
11,825780,825780_seg_0006,filler,तो,89.06,103.19,14.129999999999995,clips/825780_seg_0006.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
12,825780,825780_seg_0006,repetition,अपना अपना,89.06,103.19,14.129999999999995,clips/825780_seg_0006.wav,0.8,Found repetition near token(s): 'अपना अपना',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
13,825780,825780_seg_0006,repetition,रह रह,89.06,103.19,14.129999999999995,clips/825780_seg_0006.wav,0.8,Found repetition near token(s): 'रह रह',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
14,825780,825780_seg_0007,filler,तो,103.19,117.29,14.100000000000009,clips/825780_seg_0007.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
15,825780,825780_seg_0007,filler,मतलब,103.19,117.29,14.100000000000009,clips/825780_seg_0007.wav,0.9,Found filler near token(s): 'मतलब',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
16,825780,825780_seg_0007,repetition,ह ह,103.19,117.29,14.100000000000009,clips/825780_seg_0007.wav,0.8,Found repetition near token(s): 'ह ह',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
17,825780,825780_seg_0008,filler,तो,117.38,129.92,12.539999999999992,clips/825780_seg_0008.wav,0.9,Found filler near token(s): 'तो',https://storage.googleapis.com/joshtalks-data-collection/hq_data/hi/967179/825780_audio.wav
